SKU;FamilyID;Brand;CategoryID;PrezzoListino;MargineUnitario;ClasseABC;MoverClass;Critico_VOR;LeadTimeFornitore_gg
MI-MC-02-0461;MI-MC;Manitou;C02;426,43;0,368;A;Fast;1;14
MLT-03-0351;MLT;Manitou;C03;525,07;0,317;A;Fast;0;45
MRT-10-0422;MRT;Manitou;C10;362,52;0,272;A;Fast;0;10
LOAD-M-03-0858;LOAD-M;Mustang;C03;439,5;0,283;A;Fast;0;5
LOAD-03-0737;LOAD;Gehl;C03;314,92;0,344;A;Fast;0;30
AWP-10-0643;AWP;Manitou;C10;279,15;0,339;A;Fast;0;5
LOAD-M-04-0846;LOAD-M;Mustang;C04;890,15;0,323;A;Fast;1;45
MT-03-0110;MT;Manitou;C03;285,02;0,258;A;Fast;1;30
MT-10-0128;MT;Manitou;C10;340,98;0,372;A;Fast;0;10
MI-MC-07-0478;MI-MC;Manitou;C07;499,98;0,255;A;Fast;0;21
MLT-10-0318;MLT;Manitou;C10;396,9;0,31;A;Fast;0;7
AWP-05-0689;AWP;Manitou;C05;287,12;0,358;A;Fast;0;10
MT-03-0108;MT;Manitou;C03;394,78;0,314;A;Fast;0;5
AWP-04-0656;AWP;Manitou;C04;244,63;0,36;A;Fast;0;10
LOAD-M-10-0835;LOAD-M;Mustang;C10;289,17;0,354;A;Fast;0;30
MT-03-0033;MT;Manitou;C03;166,98;0,329;A;Fast;0;30
LOAD-10-0720;LOAD;Gehl;C10;504,61;0,349;A;Fast;0;45
MT-02-0071;MT;Manitou;C02;325,2;0,308;A;Fast;1;3
LOAD-M-06-0831;LOAD-M;Mustang;C06;172,63;0,316;A;Fast;0;5
LOAD-04-0786;LOAD;Gehl;C04;773,18;0,331;A;Fast;1;21
MRT-10-0373;MRT;Manitou;C10;402,99;0,298;A;Fast;0;3
MT-04-0028;MT;Manitou;C04;555,99;0,271;A;Fast;0;30
MT-09-0170;MT;Manitou;C09;125,3;0,376;A;Fast;1;7
MLT-05-0336;MLT;Manitou;C05;255,66;0,384;A;Fast;1;45
MT-04-0024;MT;Manitou;C04;666,85;0,345;A;Fast;1;30
LOAD-04-0716;LOAD;Gehl;C04;493,66;0,269;A;Fast;1;30
MT-07-0119;MT;Manitou;C07;295,89;0,264;A;Fast;0;30
TMM-07-0623;TMM;Manitou;C07;393,48;0,179;A;Fast;1;7
AWP-07-0697;AWP;Manitou;C07;557,75;0,223;A;Fast;0;5
MLT-02-0344;MLT;Manitou;C02;295,62;0,385;A;Fast;0;7
LOAD-02-0710;LOAD;Gehl;C02;424,41;0,371;A;Fast;0;3
MRT-07-0452;MRT;Manitou;C07;414,53;0,207;A;Fast;0;30
MI-MC-04-0551;MI-MC;Manitou;C04;842,98;0,25;A;Fast;1;30
MLT-05-0219;MLT;Manitou;C05;247,98;0,417;A;Fast;1;45
AWP-09-0671;AWP;Manitou;C09;222,9;0,396;A;Fast;0;7
LOAD-07-0729;LOAD;Gehl;C07;431,67;0,216;A;Fast;0;10
MLT-09-0334;MLT;Manitou;C09;354,79;0,444;A;Fast;1;21
TMM-10-0608;TMM;Manitou;C10;601,47;0,39;A;Fast;0;5
LOAD-03-0801;LOAD;Gehl;C03;642,18;0,261;A;Fast;0;3
MRT-04-0412;MRT;Manitou;C04;493,38;0,255;A;Fast;0;45
MLT-03-0299;MLT;Manitou;C03;730,94;0,36;A;Fast;0;10
MT-03-0165;MT;Manitou;C03;198,35;0,316;A;Fast;0;21
LOAD-M-03-0857;LOAD-M;Mustang;C03;423,24;0,265;A;Fast;1;14
LOAD-10-0764;LOAD;Gehl;C10;373,18;0,286;A;Fast;0;10
MT-07-0167;MT;Manitou;C07;567,56;0,236;A;Fast;0;3
MRT-04-0431;MRT;Manitou;C04;278,56;0,283;A;Fast;0;14
MT-09-0044;MT;Manitou;C09;371,45;0,354;A;Fast;0;5
MT-04-0093;MT;Manitou;C04;545,39;0,282;A;Fast;0;45
TMM-03-0606;TMM;Manitou;C03;371,58;0,325;A;Fast;1;21
MLT-04-0226;MLT;Manitou;C04;976,13;0,354;A;Fast;1;14
MLT-04-0367;MLT;Manitou;C04;765,79;0,366;A;Fast;0;21
MLT-04-0258;MLT;Manitou;C04;278,31;0,366;A;Fast;0;3
MLT-07-0349;MLT;Manitou;C07;497,38;0,231;A;Fast;0;3
MLT-03-0195;MLT;Manitou;C03;666,09;0,296;A;Fast;0;21
MT-03-0189;MT;Manitou;C03;722,38;0,343;A;Fast;1;5
LOAD-04-0709;LOAD;Gehl;C04;655,2;0,271;A;Fast;0;7
MT-10-0060;MT;Manitou;C10;306,55;0,309;A;Fast;1;30
MRT-10-0426;MRT;Manitou;C10;518,55;0,355;A;Fast;0;10
LOAD-M-10-0855;LOAD-M;Mustang;C10;325,04;0,387;A;Fast;1;45
AWP-04-0693;AWP;Manitou;C04;741,58;0,355;A;Fast;1;3
TMM-01-0595;TMM;Manitou;C01;83,34;0,447;A;Fast;0;21
MT-10-0176;MT;Manitou;C10;547,27;0,352;A;Fast;0;5
AWP-10-0642;AWP;Manitou;C10;531,05;0,389;A;Fast;0;14
MT-04-0113;MT;Manitou;C04;261,76;0,273;A;Fast;0;45
MT-04-0025;MT;Manitou;C04;327,93;0,309;A;Fast;1;21
MRT-10-0397;MRT;Manitou;C10;446,99;0,369;A;Fast;0;21
TMM-04-0576;TMM;Manitou;C04;779,69;0,31;A;Fast;1;10
MI-MC-04-0488;MI-MC;Manitou;C04;802,03;0,253;A;Fast;1;14
TMM-03-0568;TMM;Manitou;C03;653,81;0,312;A;Fast;1;30
LOAD-03-0743;LOAD;Gehl;C03;570,41;0,258;A;Fast;1;3
MLT-09-0212;MLT;Manitou;C09;290,96;0,395;A;Fast;0;3
LOAD-02-0703;LOAD;Gehl;C02;346,05;0,32;A;Fast;1;3
MT-09-0017;MT;Manitou;C09;368,07;0,419;A;Fast;0;30
MRT-03-0445;MRT;Manitou;C03;258,39;0,351;A;Fast;1;3
MI-MC-02-0530;MI-MC;Manitou;C02;397,76;0,299;A;Fast;0;7
MRT-03-0377;MRT;Manitou;C03;705,83;0,345;A;Fast;0;45
MT-04-0065;MT;Manitou;C04;770,66;0,367;A;Fast;1;14
MT-03-0107;MT;Manitou;C03;755,36;0,346;A;Fast;1;10
MT-03-0020;MT;Manitou;C03;534,02;0,355;A;Fast;1;45
MRT-10-0450;MRT;Manitou;C10;380,47;0,384;A;Fast;0;10
MLT-10-0254;MLT;Manitou;C10;344,27;0,318;A;Fast;0;3
MLT-05-0284;MLT;Manitou;C05;218,55;0,386;A;Fast;1;3
LOAD-03-0753;LOAD;Gehl;C03;539,27;0,319;A;Fast;1;21
LOAD-04-0705;LOAD;Gehl;C04;550,46;0,343;A;Fast;0;5
LOAD-04-0747;LOAD;Gehl;C04;335,39;0,254;A;Fast;0;30
LOAD-04-0707;LOAD;Gehl;C04;437,48;0,279;A;Fast;0;14
MT-03-0047;MT;Manitou;C03;400,2;0,249;A;Fast;0;5
MLT-06-0345;MLT;Manitou;C06;170,18;0,341;A;Fast;0;5
LOAD-05-0713;LOAD;Gehl;C05;254,69;0,345;A;Fast;1;14
MLT-02-0237;MLT;Manitou;C02;298,15;0,297;A;Fast;1;7
MRT-03-0411;MRT;Manitou;C03;697,83;0,293;A;Fast;0;10
MLT-04-0241;MLT;Manitou;C04;922,57;0,262;A;Fast;1;14
MI-MC-09-0473;MI-MC;Manitou;C09;331,87;0,416;A;Fast;1;45
MT-09-0162;MT;Manitou;C09;311,37;0,382;A;Fast;0;5
MLT-02-0337;MLT;Manitou;C02;124,89;0,349;A;Fast;1;10
MT-04-0188;MT;Manitou;C04;700,61;0,288;A;Fast;1;21
AWP-06-0653;AWP;Manitou;C06;187,18;0,373;A;Fast;0;14
LOAD-M-02-0840;LOAD-M;Mustang;C02;206,45;0,351;A;Fast;0;30
MLT-10-0229;MLT;Manitou;C10;436,72;0,381;A;Fast;0;10
MT-05-0102;MT;Manitou;C05;227,15;0,403;A;Fast;0;5
MLT-07-0271;MLT;Manitou;C07;503,97;0,194;A;Fast;0;45
MLT-09-0317;MLT;Manitou;C09;285,29;0,356;A;Fast;1;7
MRT-07-0392;MRT;Manitou;C07;461,26;0,266;A;Fast;0;14
MLT-10-0326;MLT;Manitou;C10;273,87;0,292;A;Fast;0;21
LOAD-04-0731;LOAD;Gehl;C04;241,88;0,303;A;Fast;1;45
LOAD-04-0750;LOAD;Gehl;C04;705,95;0,317;A;Fast;1;5
MRT-10-0448;MRT;Manitou;C10;188,36;0,386;A;Fast;0;14
MLT-04-0306;MLT;Manitou;C04;983,95;0,298;A;Fast;0;10
MLT-10-0362;MLT;Manitou;C10;505,62;0,382;A;Fast;0;14
LOAD-04-0787;LOAD;Gehl;C04;942,52;0,37;A;Fast;0;7
MRT-02-0424;MRT;Manitou;C02;414,31;0,33;A;Fast;0;30
MRT-04-0447;MRT;Manitou;C04;874,64;0,256;A;Fast;0;21
MI-MC-02-0503;MI-MC;Manitou;C02;277,26;0,366;A;Fast;0;10
MLT-06-0281;MLT;Manitou;C06;183,7;0,419;A;Fast;1;14
MI-MC-09-0533;MI-MC;Manitou;C09;295,25;0,357;A;Fast;0;5
MI-MC-02-0529;MI-MC;Manitou;C02;379,8;0,376;A;Fast;1;10
MT-03-0035;MT;Manitou;C03;238,3;0,297;A;Fast;1;45
MLT-07-0268;MLT;Manitou;C07;257,77;0,202;A;Fast;0;5
MT-04-0156;MT;Manitou;C04;485,08;0,32;A;Fast;1;5
AWP-10-0673;AWP;Manitou;C10;305,51;0,31;A;Fast;0;3
LOAD-M-05-0814;LOAD-M;Mustang;C05;139,16;0,431;A;Fast;0;30
MI-MC-09-0463;MI-MC;Manitou;C09;322,78;0,347;A;Fast;0;3
MRT-02-0429;MRT;Manitou;C02;308,7;0,305;A;Fast;1;45
MT-03-0085;MT;Manitou;C03;148,64;0,325;A;Fast;0;3
MT-04-0171;MT;Manitou;C04;756,99;0,322;A;Fast;0;14
LOAD-M-09-0876;LOAD-M;Mustang;C09;169,81;0,453;A;Fast;0;5
MLT-07-0209;MLT;Manitou;C07;381,05;0,279;A;Fast;0;5
AWP-03-0700;AWP;Manitou;C03;353,42;0,247;A;Fast;1;7
LOAD-M-10-0838;LOAD-M;Mustang;C10;451,82;0,295;A;Fast;0;10
LOAD-05-0728;LOAD;Gehl;C05;102,64;0,331;A;Fast;0;7
MT-03-0143;MT;Manitou;C03;440,57;0,314;A;Fast;1;10
MRT-03-0427;MRT;Manitou;C03;733,16;0,32;A;Fast;1;5
MRT-05-0423;MRT;Manitou;C05;240,46;0,384;A;Fast;0;10
LOAD-03-0782;LOAD;Gehl;C03;700,84;0,296;A;Fast;1;21
MRT-09-0398;MRT;Manitou;C09;252,64;0,408;A;Fast;0;7
MT-01-0145;MT;Manitou;C01;79,56;0,389;A;Fast;0;30
MLT-01-0259;MLT;Manitou;C01;74,59;0,435;A;Fast;0;3
MLT-02-0210;MLT;Manitou;C02;304,02;0,305;A;Fast;0;7
AWP-10-0683;AWP;Manitou;C10;524,56;0,305;A;Fast;0;7
LOAD-06-0776;LOAD;Gehl;C06;194,28;0,332;A;Fast;1;21
MT-10-0163;MT;Manitou;C10;530,3;0,29;A;Fast;0;45
MI-MC-09-0548;MI-MC;Manitou;C09;337,05;0,429;A;Fast;0;10
MRT-02-0379;MRT;Manitou;C02;309,61;0,282;A;Fast;1;30
MT-07-0104;MT;Manitou;C07;487,1;0,176;A;Fast;0;14
MT-04-0120;MT;Manitou;C04;936,43;0,302;A;Fast;1;21
MLT-06-0361;MLT;Manitou;C06;63,15;0,325;A;Fast;1;30
LOAD-10-0749;LOAD;Gehl;C10;503,67;0,37;A;Fast;0;30
MLT-06-0283;MLT;Manitou;C06;138,58;0,376;A;Fast;1;3
MI-MC-09-0562;MI-MC;Manitou;C09;194,92;0,455;A;Fast;0;21
LOAD-07-0797;LOAD;Gehl;C07;316,79;0,226;A;Fast;0;3
TMM-03-0573;TMM;Manitou;C03;664,92;0,291;A;Fast;1;5
TMM-04-0600;TMM;Manitou;C04;869,12;0,327;A;Fast;1;45
MT-07-0183;MT;Manitou;C07;397,71;0,241;B;Medium;0;30
MI-MC-05-0459;MI-MC;Manitou;C05;167,92;0,435;B;Medium;1;7
LOAD-M-02-0828;LOAD-M;Mustang;C02;208,93;0,39;B;Medium;1;21
LOAD-M-05-0822;LOAD-M;Mustang;C05;138,05;0,37;B;Medium;0;30
TMM-04-0593;TMM;Manitou;C04;859,76;0,348;B;Medium;1;21
MRT-05-0374;MRT;Manitou;C05;204,39;0,386;B;Medium;1;14
MLT-10-0363;MLT;Manitou;C10;390,66;0,382;B;Medium;0;21
MT-02-0158;MT;Manitou;C02;380,34;0,371;B;Medium;0;30
MT-10-0161;MT;Manitou;C10;365,94;0,372;B;Medium;0;30
LOAD-09-0789;LOAD;Gehl;C09;369,39;0,39;B;Medium;0;45
MT-06-0168;MT;Manitou;C06;140,68;0,363;B;Medium;0;21
MT-02-0055;MT;Manitou;C02;311,48;0,326;B;Medium;0;14
MLT-07-0236;MLT;Manitou;C07;500,28;0,235;B;Medium;0;45
MT-03-0042;MT;Manitou;C03;580,05;0,359;B;Medium;1;5
TMM-10-0602;TMM;Manitou;C10;409,49;0,37;B;Medium;0;10
TMM-02-0590;TMM;Manitou;C02;384,27;0,342;B;Medium;0;21
MRT-07-0401;MRT;Manitou;C07;145,35;0,203;B;Medium;0;5
LOAD-05-0766;LOAD;Gehl;C05;191,43;0,424;B;Medium;0;14
AWP-07-0699;AWP;Manitou;C07;512,48;0,213;B;Medium;0;7
MRT-03-0375;MRT;Manitou;C03;289,87;0,307;B;Medium;0;3
MLT-07-0203;MLT;Manitou;C07;240,2;0,161;B;Medium;0;30
MT-05-0146;MT;Manitou;C05;280,11;0,327;B;Medium;0;45
MT-07-0126;MT;Manitou;C07;546,5;0,179;B;Medium;0;10
TMM-10-0614;TMM;Manitou;C10;479,2;0,283;B;Medium;0;30
MLT-07-0300;MLT;Manitou;C07;387,94;0,186;B;Medium;0;30
MLT-10-0333;MLT;Manitou;C10;455,14;0,338;B;Medium;0;30
MI-MC-06-0476;MI-MC;Manitou;C06;144,39;0,343;B;Medium;0;5
MLT-07-0294;MLT;Manitou;C07;365,54;0,174;B;Medium;0;5
AWP-01-0684;AWP;Manitou;C01;62,82;0,429;B;Medium;1;21
LOAD-10-0740;LOAD;Gehl;C10;383,61;0,323;B;Medium;1;10
MI-MC-10-0560;MI-MC;Manitou;C10;458,84;0,295;B;Medium;0;7
MRT-07-0421;MRT;Manitou;C07;544,73;0,213;B;Medium;1;5
LOAD-09-0802;LOAD;Gehl;C09;150,63;0,399;B;Medium;0;5
MLT-04-0257;MLT;Manitou;C04;877,81;0,33;B;Medium;1;3
MLT-08-0205;MLT;Manitou;C08;46,22;0,411;B;Medium;0;5
MLT-09-0341;MLT;Manitou;C09;240,18;0,426;B;Medium;0;5
MRT-03-0387;MRT;Manitou;C03;451,06;0,268;B;Medium;1;21
LOAD-M-05-0809;LOAD-M;Mustang;C05;125,53;0,409;B;Medium;0;5
AWP-09-0687;AWP;Manitou;C09;296,36;0,444;B;Medium;0;5
MT-09-0076;MT;Manitou;C09;164,99;0,433;B;Medium;1;30
MI-MC-05-0477;MI-MC;Manitou;C05;87,82;0,341;B;Medium;1;30
MLT-09-0297;MLT;Manitou;C09;205,86;0,44;B;Medium;0;30
MT-02-0157;MT;Manitou;C02;295,91;0,299;B;Medium;1;3
MLT-07-0255;MLT;Manitou;C07;561,84;0,166;B;Medium;0;30
MLT-03-0234;MLT;Manitou;C03;713,15;0,347;B;Medium;0;7
MT-05-0141;MT;Manitou;C05;244,76;0,35;B;Medium;1;3
MRT-02-0388;MRT;Manitou;C02;388,29;0,294;B;Medium;1;7
MRT-04-0428;MRT;Manitou;C04;544,85;0,337;B;Medium;1;21
AWP-04-0685;AWP;Manitou;C04;208,08;0,32;B;Medium;0;21
AWP-09-0627;AWP;Manitou;C09;234,23;0,452;B;Medium;0;30
MT-10-0114;MT;Manitou;C10;239,17;0,363;B;Medium;0;21
MT-07-0018;MT;Manitou;C07;287,51;0,172;B;Medium;1;10
MLT-10-0335;MLT;Manitou;C10;446,39;0,338;B;Medium;0;7
MRT-10-0395;MRT;Manitou;C10;104,48;0,36;B;Medium;0;30
MI-MC-04-0545;MI-MC;Manitou;C04;176,84;0,305;B;Medium;0;14
MT-01-0132;MT;Manitou;C01;58,55;0,37;B;Medium;0;3
AWP-10-0641;AWP;Manitou;C10;587,05;0,344;B;Medium;0;10
MI-MC-04-0491;MI-MC;Manitou;C04;444,18;0,273;B;Medium;1;3
TMM-09-0607;TMM;Manitou;C09;298,31;0,362;B;Medium;0;7
MI-MC-05-0472;MI-MC;Manitou;C05;134,83;0,358;B;Medium;1;45
MI-MC-10-0465;MI-MC;Manitou;C10;493,9;0,274;B;Medium;0;14
LOAD-05-0769;LOAD;Gehl;C05;137,73;0,369;B;Medium;0;10
MI-MC-03-0537;MI-MC;Manitou;C03;710,3;0,291;B;Medium;1;21
MI-MC-08-0492;MI-MC;Manitou;C08;54,74;0,485;B;Medium;1;14
TMM-09-0598;TMM;Manitou;C09;377,34;0,454;B;Medium;0;10
LOAD-03-0777;LOAD;Gehl;C03;668,57;0,32;B;Medium;0;10
AWP-05-0667;AWP;Manitou;C05;188,51;0,409;B;Medium;0;14
TMM-09-0581;TMM;Manitou;C09;163,45;0,349;B;Medium;0;5
MI-MC-06-0497;MI-MC;Manitou;C06;179,05;0,357;B;Medium;1;14
TMM-07-0587;TMM;Manitou;C07;463,18;0,211;B;Medium;0;5
MLT-04-0231;MLT;Manitou;C04;305,14;0,363;B;Medium;0;14
LOAD-04-0791;LOAD;Gehl;C04;345,64;0,368;B;Medium;1;5
LOAD-10-0742;LOAD;Gehl;C10;222,7;0,339;B;Medium;0;5
MT-07-0009;MT;Manitou;C07;114,82;0,24;B;Medium;0;21
MT-05-0075;MT;Manitou;C05;253,02;0,354;B;Medium;0;30
LOAD-01-0732;LOAD;Gehl;C01;57,69;0,452;B;Medium;0;7
MT-03-0118;MT;Manitou;C03;382,57;0,273;B;Medium;0;21
AWP-03-0676;AWP;Manitou;C03;238,13;0,292;B;Medium;0;45
MT-07-0177;MT;Manitou;C07;212,35;0,208;B;Medium;0;45
AWP-03-0632;AWP;Manitou;C03;405,78;0,263;B;Medium;0;7
LOAD-07-0793;LOAD;Gehl;C07;412,13;0,22;B;Medium;1;45
MT-10-0030;MT;Manitou;C10;574,52;0,367;B;Medium;0;3
MRT-03-0425;MRT;Manitou;C03;683,63;0,351;B;Medium;1;10
MLT-03-0331;MLT;Manitou;C03;309,28;0,319;B;Medium;1;45
MI-MC-03-0517;MI-MC;Manitou;C03;523,98;0,275;B;Medium;0;21
MLT-08-0314;MLT;Manitou;C08;53,87;0,395;B;Medium;0;7
MT-05-0051;MT;Manitou;C05;131,28;0,322;B;Medium;1;45
MT-03-0105;MT;Manitou;C03;516,64;0,279;B;Medium;0;5
LOAD-M-07-0811;LOAD-M;Mustang;C07;396,42;0,174;B;Medium;0;30
LOAD-02-0805;LOAD;Gehl;C02;395,4;0,302;B;Medium;0;21
MLT-07-0354;MLT;Manitou;C07;545,96;0,198;B;Medium;0;10
MLT-04-0296;MLT;Manitou;C04;521,17;0,283;B;Medium;1;7
MI-MC-03-0514;MI-MC;Manitou;C03;444,25;0,309;B;Medium;1;3
LOAD-07-0774;LOAD;Gehl;C07;412,03;0,208;B;Medium;1;21
LOAD-04-0719;LOAD;Gehl;C04;608,09;0,258;B;Medium;0;7
MT-03-0191;MT;Manitou;C03;261,47;0,288;B;Medium;0;5
TMM-10-0609;TMM;Manitou;C10;292,09;0,381;B;Medium;0;10
MLT-10-0263;MLT;Manitou;C10;465,31;0,297;B;Medium;0;14
MT-02-0096;MT;Manitou;C02;431,11;0,392;B;Medium;0;45
LOAD-10-0792;LOAD;Gehl;C10;300,83;0,308;B;Medium;0;5
MLT-02-0230;MLT;Manitou;C02;416,31;0,36;B;Medium;1;10
MI-MC-02-0489;MI-MC;Manitou;C02;282,57;0,328;B;Medium;1;3
LOAD-06-0765;LOAD;Gehl;C06;187,13;0,306;B;Medium;0;30
MLT-09-0267;MLT;Manitou;C09;188,12;0,393;B;Medium;0;7
TMM-02-0605;TMM;Manitou;C02;152,04;0,369;B;Medium;0;30
LOAD-10-0704;LOAD;Gehl;C10;454,66;0,343;B;Medium;0;10
MI-MC-04-0513;MI-MC;Manitou;C04;860,78;0,352;B;Medium;1;14
LOAD-02-0735;LOAD;Gehl;C02;245,66;0,325;B;Medium;1;3
MRT-02-0370;MRT;Manitou;C02;297,47;0,32;B;Medium;1;45
MLT-03-0251;MLT;Manitou;C03;193,71;0,27;B;Medium;1;45
LOAD-07-0790;LOAD;Gehl;C07;285,64;0,237;B;Medium;0;30
LOAD-M-03-0869;LOAD-M;Mustang;C03;401,18;0,285;B;Medium;0;21
MT-05-0088;MT;Manitou;C05;174,78;0,372;B;Medium;1;10
MLT-03-0242;MLT;Manitou;C03;358,46;0,245;B;Medium;1;7
MLT-07-0290;MLT;Manitou;C07;375,68;0,275;B;Medium;0;3
MLT-03-0207;MLT;Manitou;C03;397,94;0,278;B;Medium;0;3
MT-07-0129;MT;Manitou;C07;282,82;0,204;B;Medium;1;45
LOAD-02-0751;LOAD;Gehl;C02;318,6;0,388;B;Medium;1;45
LOAD-10-0759;LOAD;Gehl;C10;125,94;0,324;B;Medium;0;14
MLT-06-0199;MLT;Manitou;C06;97,44;0,393;B;Medium;1;21
LOAD-M-04-0816;LOAD-M;Mustang;C04;976,33;0,308;B;Medium;0;30
LOAD-06-0733;LOAD;Gehl;C06;125,32;0,409;B;Medium;1;10
AWP-02-0660;AWP;Manitou;C02;425,4;0,297;B;Medium;1;3
MT-08-0027;MT;Manitou;C08;62,12;0,431;B;Medium;1;30
MT-04-0185;MT;Manitou;C04;548,71;0,317;B;Medium;0;30
AWP-09-0648;AWP;Manitou;C09;365,79;0,46;B;Medium;0;14
MLT-09-0201;MLT;Manitou;C09;378,97;0,445;B;Medium;0;5
LOAD-03-0752;LOAD;Gehl;C03;667,57;0,296;B;Medium;0;10
AWP-10-0626;AWP;Manitou;C10;272,07;0,328;B;Medium;0;21
MI-MC-05-0467;MI-MC;Manitou;C05;233,49;0,323;B;Medium;1;30
LOAD-M-10-0875;LOAD-M;Mustang;C10;223,05;0,311;B;Medium;0;7
MT-07-0092;MT;Manitou;C07;269,91;0,208;B;Medium;0;10
MT-03-0136;MT;Manitou;C03;290,66;0,356;B;Medium;0;10
MRT-05-0402;MRT;Manitou;C05;142,93;0,44;B;Medium;0;7
LOAD-M-06-0812;LOAD-M;Mustang;C06;177,19;0,364;B;Medium;1;14
LOAD-10-0756;LOAD;Gehl;C10;309,38;0,33;B;Medium;0;14
TMM-06-0565;TMM;Manitou;C06;139,85;0,343;B;Medium;1;45
MI-MC-04-0502;MI-MC;Manitou;C04;331,64;0,293;B;Medium;0;45
MLT-02-0295;MLT;Manitou;C02;224,02;0,39;B;Medium;0;21
MI-MC-02-0528;MI-MC;Manitou;C02;382,07;0,335;B;Medium;1;10
TMM-02-0584;TMM;Manitou;C02;301,25;0,313;B;Medium;1;5
MLT-02-0292;MLT;Manitou;C02;159,45;0,327;B;Medium;1;45
TMM-07-0579;TMM;Manitou;C07;247,42;0,247;B;Medium;0;10
MLT-03-0321;MLT;Manitou;C03;335,66;0,296;B;Medium;1;3
MT-07-0046;MT;Manitou;C07;167,7;0,27;B;Medium;1;3
AWP-10-0691;AWP;Manitou;C10;248,26;0,33;B;Medium;0;7
MT-04-0125;MT;Manitou;C04;673,26;0,324;B;Medium;0;3
MT-04-0022;MT;Manitou;C04;943,81;0,313;B;Medium;1;14
MLT-09-0308;MLT;Manitou;C09;163,49;0,417;B;Medium;0;30
MLT-07-0249;MLT;Manitou;C07;372,63;0,268;B;Medium;0;45
LOAD-M-04-0832;LOAD-M;Mustang;C04;413,01;0,294;B;Medium;0;21
MT-02-0159;MT;Manitou;C02;160,77;0,304;B;Medium;1;10
MT-03-0169;MT;Manitou;C03;424,42;0,323;B;Medium;1;10
AWP-08-0644;AWP;Manitou;C08;63,29;0,481;B;Medium;0;30
MT-02-0023;MT;Manitou;C02;322,63;0,311;B;Medium;0;21
AWP-01-0692;AWP;Manitou;C01;51,23;0,393;B;Medium;0;45
