OrderLineID;Date;SKU;DealerID;RegionID;QtaOrdinata;QtaEvasa;PrezzoUnitario;RicavoRiga;CostoRiga;TipoOrdine;SLA_richiesto_gg;FlagStockout;FlagOTIF
102;2024-02-19;TMM-05-0572;D027;R1;3;0;77,23;231,69;137,58;Stock;5;1;0
103;2024-02-08;MLT-09-0340;D077;R2;1;1;330,11;330,11;210,14;VOR;1;0;1
104;2025-06-03;MT-03-0047;D002;R1;4;4;372,19;1488,76;1202,2;VOR;1;0;1
105;2025-01-22;MLT-03-0331;D010;R1;1;1;272,17;272,17;210,62;VOR;1;0;1
106;2025-05-31;MT-08-0155;D034;R1;7;7;56,47;395,29;214,34;VOR;1;0;1
107;2024-07-12;MRT-10-0450;D121;R3;1;1;353,84;353,84;234,37;Stock;2;0;1
108;2025-05-24;MLT-07-0227;D015;R1;1;1;132,63;132,63;112,09;Stock;2;0;1
109;2024-09-27;AWP-05-0689;D013;R1;3;3;267,02;801,06;552,99;Stock;3;0;1
110;2025-12-28;MLT-09-0317;D088;R2;1;1;251,06;251,06;183,73;Stock;3;0;1
111;2025-01-27;MT-01-0145;D095;R3;1;1;77,17;77,17;48,61;Stock;2;0;1
112;2025-10-13;MT-09-0090;D036;R1;1;1;138,77;138,77;77,97;Stock;3;0;1
113;2025-11-03;MLT-02-0237;D075;R2;4;4;289,21;1156,84;838,4;VOR;1;0;1
114;2025-04-17;LOAD-05-0728;D070;R2;1;1;99,56;99,56;68,67;Stock;3;0;1
115;2024-04-15;MT-03-0110;D097;R3;1;1;265,07;265,07;211,48;VOR;1;0;1
116;2024-05-29;LOAD-06-0796;D043;R1;1;1;88,51;88,51;61,32;Stock;2;0;1
117;2024-09-29;MRT-07-0380;D107;R3;1;1;494,17;494,17;422,44;VOR;1;0;1
118;2024-04-12;AWP-06-0640;D067;R2;3;3;107,22;321,66;205,59;VOR;1;0;1
119;2025-08-01;MLT-10-0204;D032;R1;1;1;158,81;158,81;117,13;Stock;5;0;1
120;2025-06-29;MLT-06-0361;D074;R2;15;0;58,73;880,95;639,45;Stock;5;1;0
121;2025-08-26;MLT-09-0276;D088;R2;2;2;230,91;461,82;319,08;Stock;2;0;1
122;2024-06-18;MLT-09-0308;D104;R3;1;1;143,87;143,87;95,31;Stock;5;0;1
123;2024-02-29;LOAD-04-0781;D114;R3;1;1;844,33;844,33;676,43;VOR;1;0;1
124;2025-07-08;MT-06-0073;D108;R3;1;1;35,22;35,22;22,15;Stock;2;0;1
125;2024-10-20;MT-07-0009;D073;R2;1;1;106,78;106,78;87,26;Stock;5;0;1
126;2025-07-06;LOAD-M-10-0819;D028;R1;3;3;563,1;1689,3;1295,13;Stock;5;0;1
127;2024-01-09;MLT-08-0342;D012;R1;1;1;55,96;55,96;32,48;VOR;1;0;1
128;2024-08-07;MLT-01-0270;D048;R2;2;2;37,6;75,2;49,06;Stock;3;0;1
129;2025-10-01;MLT-06-0224;D034;R1;2;0;135,82;271,64;183,98;Stock;3;1;0
130;2025-10-05;LOAD-M-05-0822;D088;R2;4;4;121,48;485,92;347,88;Stock;5;0;1
131;2025-04-19;MLT-05-0327;D030;R1;1;1;102,29;102,29;71,18;Stock;3;0;1
132;2024-06-15;LOAD-05-0728;D083;R2;2;2;95,46;190,92;137,34;Stock;3;0;1
133;2025-05-08;MLT-03-0331;D027;R1;1;1;300,0;300,0;210,62;VOR;1;0;1
134;2024-02-09;MLT-01-0332;D011;R1;1;1;58,81;58,81;32,8;Stock;2;0;1
135;2024-02-14;MT-04-0154;D031;R1;4;4;779,45;3117,8;2519,04;Stock;2;0;1
136;2024-10-17;MLT-08-0205;D083;R2;2;2;42,98;85,96;54,44;Stock;2;0;1
137;2024-04-11;AWP-08-0644;D123;R4;1;1;58,86;58,86;32,85;Stock;5;0;1
138;2025-09-14;MI-MC-10-0465;D063;R2;5;5;434,63;2173,15;1792,85;Stock;2;0;1
139;2025-05-23;MT-09-0184;D083;R2;2;2;348,64;697,28;405,62;Stock;5;0;1
140;2024-06-01;MT-07-0009;D072;R2;1;1;111,38;111,38;87,26;VOR;1;0;1
141;2025-02-08;AWP-10-0691;D068;R2;1;1;230,88;230,88;166,33;Stock;2;0;1
142;2025-07-14;LOAD-M-04-0808;D107;R3;1;0;682,29;682,29;548,76;VOR;1;1;0
143;2024-02-07;MI-MC-01-0507;D037;R1;1;1;73,58;73,58;44,54;VOR;1;0;1
144;2024-04-11;MT-02-0055;D133;R4;3;3;289,68;869,04;629,82;VOR;1;0;1
145;2024-10-20;MT-08-0123;D064;R2;3;0;49,66;148,98;82,5;Stock;5;1;0
146;2024-03-02;MLT-07-0222;D061;R2;2;2;307,16;614,32;525,02;Stock;3;0;1
147;2024-12-28;MLT-09-0297;D014;R1;2;0;191,45;382,9;230,56;Stock;2;1;0
148;2025-09-30;TMM-09-0581;D044;R1;2;0;143,84;287,68;212,82;Stock;2;1;0
149;2025-04-26;MT-10-0176;D096;R3;5;5;508,96;2544,8;1773,15;Stock;2;0;1
150;2025-04-18;MT-07-0104;D022;R1;1;1;453,0;453,0;401,37;VOR;1;0;1
151;2024-10-03;MT-08-0130;D018;R1;1;1;23,64;23,64;12,62;Stock;5;0;1
152;2025-02-26;MLT-02-0344;D137;R4;2;2;286,75;573,5;363,62;VOR;1;0;1
153;2025-01-23;MT-08-0011;D101;R3;1;1;44,2;44,2;30,24;Stock;5;0;1
154;2024-06-04;MT-02-0172;D065;R2;4;4;122,07;488,28;336,56;VOR;1;0;1
155;2025-05-07;MLT-06-0281;D137;R4;1;1;178,19;178,19;106,73;Stock;5;0;1
156;2025-10-23;MRT-04-0389;D050;R2;1;1;675,2;675,2;531,45;Stock;5;0;1
157;2024-03-20;MI-MC-02-0516;D084;R2;1;1;372,59;372,59;248,39;Stock;2;0;1
158;2024-04-27;MT-10-0163;D046;R1;5;5;466,66;2333,3;1882,55;Stock;3;0;1
159;2025-12-09;MLT-01-0259;D058;R2;1;0;72,35;72,35;42,14;Stock;5;1;0
160;2024-05-23;MT-10-0060;D138;R4;1;1;297,35;297,35;211,83;VOR;1;0;0
161;2024-08-25;MT-09-0184;D022;R1;1;1;348,64;348,64;202,81;Stock;3;0;1
162;2025-03-01;MT-06-0100;D063;R2;2;2;148,47;296,94;216,98;Stock;3;0;0
163;2024-04-15;MLT-07-0262;D060;R2;1;1;328,35;328,35;301,12;Stock;5;0;1
164;2025-08-31;MT-09-0170;D005;R1;2;2;110,26;220,52;156,38;VOR;1;0;1
165;2025-09-28;MLT-01-0288;D108;R3;1;0;60,06;60,06;35,36;Stock;2;1;0
166;2024-10-07;MT-08-0026;D061;R2;7;7;54,79;383,53;206,78;Stock;2;0;1
167;2025-07-30;MT-07-0177;D021;R1;1;1;197,49;197,49;168,18;Stock;5;0;1
168;2024-02-07;MLT-08-0314;D009;R1;1;1;50,1;50,1;32,59;Stock;3;0;1
169;2024-10-12;MI-MC-03-0458;D005;R1;3;3;316,73;950,19;791,46;Stock;2;0;1
170;2024-09-03;MT-09-0180;D048;R2;2;2;154,38;308,76;195,78;VOR;1;0;1
171;2025-05-15;MLT-06-0283;D087;R2;1;1;121,95;121,95;86,47;VOR;1;0;1
172;2025-05-18;MT-03-0020;D027;R1;1;1;518,0;518,0;344,44;Stock;2;0;1
173;2024-07-26;MLT-01-0259;D018;R1;2;2;72,35;144,7;84,28;Stock;3;0;1
174;2025-10-15;MI-MC-01-0531;D021;R1;1;1;22,38;22,38;15,11;Stock;3;0;1
175;2025-08-28;MLT-02-0339;D060;R2;3;3;122,77;368,31;267,87;VOR;1;0;1
176;2024-01-08;MT-07-0091;D058;R2;1;1;130,87;130,87;109,69;Stock;5;0;1
177;2024-03-23;MT-02-0071;D025;R1;1;1;302,44;302,44;225,04;Stock;2;0;1
178;2024-07-05;MLT-06-0304;D122;R3;1;1;101,01;101,01;64,19;Stock;2;0;1
179;2024-02-18;MT-04-0028;D002;R1;1;1;517,07;517,07;405,32;Stock;2;0;1
180;2025-12-23;MT-04-0188;D036;R1;2;2;679,59;1359,18;997,66;VOR;1;0;1
181;2025-04-04;AWP-01-0684;D103;R3;5;5;55,28;276,4;179,35;Stock;2;0;0
182;2024-08-09;MT-06-0181;D022;R1;1;1;120,81;120,81;84,56;Stock;2;0;1
183;2025-10-24;MT-07-0129;D068;R2;1;0;263,02;263,02;225,12;VOR;1;1;0
184;2025-10-24;MLT-07-0311;D042;R1;1;1;399,38;399,38;340,55;Stock;5;0;1
185;2024-03-09;LOAD-05-0779;D017;R1;2;2;112,19;224,38;156,34;Stock;5;0;1
186;2024-04-06;MT-03-0143;D019;R1;2;2;427,35;854,7;604,46;VOR;1;0;1
187;2025-06-29;MLT-04-0226;D065;R2;5;5;907,8;4539,0;3152,9;Stock;3;0;1
188;2025-08-21;MLT-10-0204;D075;R2;1;1;175,06;175,06;117,13;VOR;1;0;0
189;2025-10-31;AWP-02-0677;D027;R1;1;1;415,49;415,49;270,71;Stock;5;0;1
190;2025-10-31;MT-02-0071;D027;R1;1;0;315,44;315,44;225,04;Stock;5;1;0
191;2025-03-05;MT-08-0175;D012;R1;7;0;12,07;84,49;50,4;Stock;3;1;0
192;2025-06-23;LOAD-05-0714;D011;R1;1;0;223,83;223,83;139,83;VOR;1;1;0
193;2024-09-26;MT-05-0048;D061;R2;3;0;247,42;742,26;479,01;Stock;5;1;0
194;2024-10-02;MT-10-0114;D082;R2;3;3;231,99;695,97;457,05;Stock;5;0;1
195;2024-11-14;MLT-08-0269;D016;R1;1;1;24,41;24,41;14,02;Stock;3;0;1
196;2024-02-19;MT-03-0143;D047;R1;1;1;427,35;427,35;302,23;Stock;2;0;1
197;2024-08-09;MLT-08-0208;D082;R2;2;2;41,69;83,38;52,0;Stock;2;0;1
198;2025-07-17;AWP-08-0639;D015;R1;1;1;19,53;19,53;11,84;Stock;2;0;1
199;2024-08-26;MT-03-0189;D099;R3;3;0;700,71;2102,13;1423,8;Stock;3;1;0
200;2025-10-21;MT-09-0017;D119;R3;1;1;342,31;342,31;213,85;Stock;5;0;1
201;2025-10-29;MT-05-0146;D033;R1;2;2;271,71;543,42;377,02;Stock;2;0;1
202;2024-08-04;MI-MC-02-0461;D017;R1;1;1;396,58;396,58;269,5;Stock;5;0;1
203;2025-10-12;LOAD-10-0783;D013;R1;1;1;306,46;306,46;232,98;Stock;2;0;1
204;2025-08-08;MLT-07-0311;D062;R2;1;1;377,91;377,91;340,55;Stock;5;0;1
205;2024-04-24;MLT-04-0367;D128;R4;3;3;712,18;2136,54;1456,53;Stock;3;0;1
206;2024-01-30;MLT-10-0204;D004;R1;3;3;167,84;503,52;351,39;Stock;2;0;1
207;2024-03-11;MLT-07-0262;D063;R2;1;1;328,35;328,35;301,12;VOR;1;0;1
208;2024-09-08;MI-MC-02-0515;D037;R1;1;1;295,59;295,59;199,6;Stock;2;0;1
209;2025-06-14;MT-07-0099;D014;R1;4;4;128,45;513,8;417,12;VOR;1;0;1
210;2024-04-30;MRT-10-0395;D013;R1;1;1;97,17;97,17;66,87;Stock;5;0;1
211;2025-12-24;TMM-10-0602;D076;R2;1;0;380,83;380,83;257,98;Stock;2;1;0
212;2024-12-16;MRT-01-0371;D122;R3;2;2;14,69;29,38;19,02;Stock;3;0;1
213;2025-09-25;MLT-01-0270;D019;R1;2;2;41,45;82,9;49,06;Stock;5;0;1
214;2024-07-03;MLT-02-0344;D018;R1;2;2;286,75;573,5;363,62;Stock;2;0;1
215;2024-09-26;MT-07-0094;D094;R3;2;2;517,0;1034,0;887,96;VOR;1;0;1
216;2024-04-06;MLT-01-0288;D075;R2;4;4;60,06;240,24;141,44;Stock;3;0;1
217;2025-04-25;MT-02-0071;D047;R1;5;5;315,44;1577,2;1125,2;Stock;2;0;1
218;2024-06-20;LOAD-M-06-0812;D059;R2;1;1;171,87;171,87;112,69;VOR;1;0;1
219;2024-07-28;MT-06-0010;D064;R2;1;1;149,87;149,87;101,36;Stock;3;0;1
220;2025-12-30;MLT-03-0325;D105;R3;1;1;654,45;654,45;518,35;Stock;2;0;1
221;2025-08-21;LOAD-M-05-0843;D047;R1;2;2;112,19;224,38;142,96;Stock;3;0;1
222;2024-07-16;LOAD-04-0786;D031;R1;1;1;680,4;680,4;517,26;VOR;1;0;1
223;2025-07-19;MLT-04-0324;D056;R2;1;1;212,11;212,11;150,53;Stock;2;0;1
224;2024-09-02;MT-10-0140;D056;R2;1;1;167,42;167,42;124,21;Stock;5;0;1
225;2025-08-27;MLT-08-0314;D046;R1;1;1;47,41;47,41;32,59;Stock;5;0;1
226;2025-10-11;MRT-05-0423;D061;R2;2;2;233,25;466,5;296,24;Stock;3;0;1
227;2025-02-03;MLT-06-0312;D087;R2;3;3;181,59;544,77;401,76;Stock;5;0;1
228;2025-04-03;MLT-06-0304;D037;R1;6;0;101,01;606,06;385,14;VOR;1;1;0
229;2025-05-03;MI-MC-02-0530;D113;R3;3;3;369,92;1109,76;836,49;Stock;2;0;1
230;2025-05-12;MT-10-0176;D080;R2;1;1;481,6;481,6;354,63;Stock;5;0;1
231;2024-09-07;MI-MC-06-0476;D003;R1;2;0;127,06;254,12;189,72;Stock;5;1;0
232;2024-08-06;MT-04-0093;D049;R2;1;1;507,21;507,21;391,59;VOR;1;0;1
233;2024-05-11;LOAD-02-0735;D054;R2;2;2;216,18;432,36;331,64;VOR;1;0;1
234;2024-06-22;MI-MC-03-0458;D084;R2;1;1;334,73;334,73;263,82;Stock;2;0;1
235;2025-07-09;LOAD-07-0797;D118;R3;1;1;307,29;307,29;245,2;VOR;1;0;1
236;2025-04-16;MT-03-0165;D070;R2;4;4;192,4;769,6;542,68;Stock;5;0;1
237;2025-05-29;MI-MC-01-0532;D038;R1;1;1;16,32;16,32;11,83;Stock;5;0;1
238;2025-12-10;TMM-01-0595;D006;R1;1;1;73,34;73,34;46,09;VOR;1;0;0
239;2025-02-20;MLT-01-0328;D105;R3;1;1;70,53;70,53;46,57;Stock;2;0;1
240;2025-05-08;MLT-06-0304;D100;R3;2;2;105,35;210,7;128,38;Stock;3;0;1
241;2024-10-09;MT-09-0106;D025;R1;2;2;118,24;236,48;144,94;Stock;5;0;1
242;2025-11-16;LOAD-03-0801;D042;R1;2;2;597,23;1194,46;949,14;Stock;2;0;1
243;2025-04-09;MI-MC-06-0544;D024;R1;1;1;57,76;57,76;37,51;Stock;2;0;1
244;2024-01-26;MT-01-0127;D056;R2;2;2;70,56;141,12;81,78;Stock;5;0;1
245;2025-12-16;MLT-09-0334;D081;R2;1;1;344,15;344,15;197,26;VOR;1;0;1
246;2025-12-17;LOAD-07-0797;D009;R1;2;2;294,61;589,22;490,4;Stock;2;0;1
247;2024-01-13;MT-08-0019;D104;R3;1;0;17,86;17,86;11,55;Stock;3;1;0
248;2024-07-01;MT-04-0025;D108;R3;1;1;318,09;318,09;226,6;VOR;1;0;1
249;2025-01-31;LOAD-05-0728;D071;R2;2;2;95,46;190,92;137,34;Stock;3;0;1
250;2025-03-17;MT-09-0170;D114;R3;11;11;110,26;1212,86;860,09;VOR;1;0;1
251;2024-11-28;MT-04-0052;D065;R2;2;2;865,28;1730,56;1371,42;Stock;5;0;1
252;2024-10-07;MI-MC-09-0538;D057;R2;4;4;79,86;319,44;197,28;Stock;2;0;1
253;2025-07-11;MT-08-0139;D070;R2;1;1;41,02;41,02;22,84;Stock;3;0;1
254;2025-12-27;MI-MC-01-0507;D013;R1;2;2;73,58;147,16;89,08;VOR;1;0;0
255;2025-04-26;MLT-03-0351;D033;R1;1;1;509,32;509,32;358,62;Stock;3;0;0
256;2024-03-01;MLT-05-0244;D107;R3;1;1;83,77;83,77;59,81;VOR;1;0;1
257;2025-03-24;MRT-05-0454;D078;R2;3;3;43,19;129,57;91,44;Stock;5;0;1
258;2024-11-29;MT-03-0110;D120;R3;1;1;276,47;276,47;211,48;VOR;1;0;0
259;2024-04-19;MI-MC-03-0458;D050;R2;1;1;334,73;334,73;263,82;Stock;3;0;1
260;2024-04-28;MT-02-0158;D031;R1;4;4;334,7;1338,8;956,92;Stock;2;0;1
261;2024-01-11;LOAD-M-06-0868;D022;R1;2;2;104,76;209,52;146,22;Stock;3;0;1
262;2025-09-16;MT-03-0110;D076;R2;3;3;265,07;795,21;634,44;Stock;3;0;1
263;2024-06-12;MLT-06-0246;D059;R2;1;1;84,12;84,12;54,03;VOR;1;0;1
264;2025-11-09;MT-09-0150;D026;R1;2;0;61,41;122,82;73,82;VOR;1;1;0
265;2025-11-28;LOAD-03-0737;D003;R1;1;1;277,13;277,13;206,59;VOR;1;0;1
266;2025-01-27;MT-01-0132;D085;R2;1;1;54,45;54,45;36,89;Stock;2;0;1
267;2025-10-30;MLT-06-0312;D015;R1;1;1;191,91;191,91;133,92;Stock;3;0;1
268;2024-10-30;LOAD-M-05-0827;D076;R2;3;3;143,21;429,63;284,1;Stock;2;0;1
269;2025-06-09;MT-05-0153;D012;R1;6;6;196,02;1176,12;683,82;VOR;1;0;1
270;2024-04-15;MT-03-0033;D017;R1;1;0;155,29;155,29;112,04;Stock;5;1;0
271;2025-04-04;MLT-07-0311;D009;R1;1;1;399,38;399,38;340,55;Stock;2;0;1
272;2024-04-28;MLT-01-0206;D070;R2;1;0;38,63;38,63;21,54;VOR;1;1;0
273;2025-11-30;MLT-07-0300;D066;R2;1;1;360,78;360,78;315,78;Stock;3;0;1
274;2025-07-30;MT-05-0102;D130;R4;1;1;220,34;220,34;135,61;Stock;3;0;1
