AnnoMese;SKU;GiacenzaPezzi;SafetyStock;ReorderPoint;ValoreGiacenza;GiorniCopertura;FlagStockout;FlagDeadStock
2025-04;MT-07-0094;14;6,2;10,1;6215,73;10,8;0;0
2025-05;MT-07-0094;10;6,2;10,1;4439,81;7,7;0;0
2025-06;MT-07-0094;8;6,2;10,1;3551,85;6,2;0;0
2025-07;MT-07-0094;0;6,2;10,1;0,0;0,0;1;0
2025-08;MT-07-0094;15;6,2;10,1;6659,71;11,6;0;0
2025-09;MT-07-0094;9;6,2;10,1;3995,83;6,9;0;0
2025-10;MT-07-0094;16;6,2;10,1;7103,69;12,3;0;0
2025-11;MT-07-0094;18;6,2;10,1;7991,65;13,9;0;0
2025-12;MT-07-0094;4;6,2;10,1;1775,92;3,1;0;0
2024-01;AWP-02-0677;24;11,5;21,2;6497,06;34,9;0;0
2024-02;AWP-02-0677;8;11,5;21,2;2165,69;11,6;0;0
2024-03;AWP-02-0677;28;11,5;21,2;7579,9;40,7;0;0
2024-04;AWP-02-0677;17;11,5;21,2;4602,08;24,7;0;0
2024-05;AWP-02-0677;29;11,5;21,2;7850,62;42,2;0;0
2024-06;AWP-02-0677;13;11,5;21,2;3519,24;18,9;0;0
2024-07;AWP-02-0677;13;11,5;21,2;3519,24;18,9;0;0
2024-08;AWP-02-0677;8;11,5;21,2;2165,69;11,6;0;0
2024-09;AWP-02-0677;17;11,5;21,2;4602,08;24,7;0;0
2024-10;AWP-02-0677;36;11,5;21,2;9745,59;52,4;0;0
2024-11;AWP-02-0677;0;11,5;21,2;0,0;0,0;1;0
2024-12;AWP-02-0677;2;11,5;21,2;541,42;2,9;0;0
2025-01;AWP-02-0677;15;11,5;21,2;4060,66;21,8;0;0
2025-02;AWP-02-0677;11;11,5;21,2;2977,82;16,0;0;0
2025-03;AWP-02-0677;5;11,5;21,2;1353,55;7,3;0;0
2025-04;AWP-02-0677;36;11,5;21,2;9745,59;52,4;0;0
2025-05;AWP-02-0677;12;11,5;21,2;3248,53;17,5;0;0
2025-06;AWP-02-0677;34;11,5;21,2;9204,17;49,5;0;0
2025-07;AWP-02-0677;11;11,5;21,2;2977,82;16,0;0;0
2025-08;AWP-02-0677;0;11,5;21,2;0,0;0,0;1;0
2025-09;AWP-02-0677;26;11,5;21,2;7038,48;37,8;0;0
2025-10;AWP-02-0677;35;11,5;21,2;9474,88;50,9;0;0
2025-11;AWP-02-0677;28;11,5;21,2;7579,9;40,7;0;0
2025-12;AWP-02-0677;34;11,5;21,2;9204,17;49,5;0;0
2024-01;MI-MC-10-0481;8;8,6;15,8;2457,25;11,2;0;0
2024-02;MI-MC-10-0481;4;8,6;15,8;1228,62;5,6;0;0
2024-03;MI-MC-10-0481;19;8,6;15,8;5835,97;26,5;0;0
2024-04;MI-MC-10-0481;11;8,6;15,8;3378,72;15,3;0;0
2024-05;MI-MC-10-0481;20;8,6;15,8;6143,12;27,9;0;0
2024-06;MI-MC-10-0481;10;8,6;15,8;3071,56;14,0;0;0
2024-07;MI-MC-10-0481;12;8,6;15,8;3685,87;16,7;0;0
2024-08;MI-MC-10-0481;18;8,6;15,8;5528,81;25,1;0;0
2024-09;MI-MC-10-0481;15;8,6;15,8;4607,34;20,9;0;0
2024-10;MI-MC-10-0481;15;8,6;15,8;4607,34;20,9;0;0
2024-11;MI-MC-10-0481;11;8,6;15,8;3378,72;15,3;0;0
2024-12;MI-MC-10-0481;26;8,6;15,8;7986,06;36,3;0;0
2025-01;MI-MC-10-0481;15;8,6;15,8;4607,34;20,9;0;0
2025-02;MI-MC-10-0481;10;8,6;15,8;3071,56;14,0;0;0
2025-03;MI-MC-10-0481;17;8,6;15,8;5221,66;23,7;0;0
2025-04;MI-MC-10-0481;7;8,6;15,8;2150,09;9,8;0;0
2025-05;MI-MC-10-0481;19;8,6;15,8;5835,97;26,5;0;0
2025-06;MI-MC-10-0481;28;8,6;15,8;8600,37;39,1;0;0
2025-07;MI-MC-10-0481;15;8,6;15,8;4607,34;20,9;0;0
2025-08;MI-MC-10-0481;6;8,6;15,8;1842,94;8,4;0;0
2025-09;MI-MC-10-0481;5;8,6;15,8;1535,78;7,0;0;0
2025-10;MI-MC-10-0481;13;8,6;15,8;3993,03;18,1;0;0
2025-11;MI-MC-10-0481;6;8,6;15,8;1842,94;8,4;0;0
2025-12;MI-MC-10-0481;5;8,6;15,8;1535,78;7,0;0;0
2024-01;LOAD-M-04-0852;5;3,1;5,1;2423,0;12,9;0;0
2024-02;LOAD-M-04-0852;3;3,1;5,1;1453,8;7,7;0;0
2024-03;LOAD-M-04-0852;6;3,1;5,1;2907,6;15,4;0;0
2024-04;LOAD-M-04-0852;5;3,1;5,1;2423,0;12,9;0;0
2024-05;LOAD-M-04-0852;3;3,1;5,1;1453,8;7,7;0;0
2024-06;LOAD-M-04-0852;8;3,1;5,1;3876,8;20,6;0;0
2024-07;LOAD-M-04-0852;7;3,1;5,1;3392,2;18,0;0;0
2024-08;LOAD-M-04-0852;4;3,1;5,1;1938,4;10,3;0;0
2024-09;LOAD-M-04-0852;2;3,1;5,1;969,2;5,1;0;0
2024-10;LOAD-M-04-0852;7;3,1;5,1;3392,2;18,0;0;0
2024-11;LOAD-M-04-0852;8;3,1;5,1;3876,8;20,6;0;0
2024-12;LOAD-M-04-0852;3;3,1;5,1;1453,8;7,7;0;0
2025-01;LOAD-M-04-0852;3;3,1;5,1;1453,8;7,7;0;0
2025-02;LOAD-M-04-0852;9;3,1;5,1;4361,4;23,1;0;0
2025-03;LOAD-M-04-0852;9;3,1;5,1;4361,4;23,1;0;0
2025-04;LOAD-M-04-0852;4;3,1;5,1;1938,4;10,3;0;0
2025-05;LOAD-M-04-0852;3;3,1;5,1;1453,8;7,7;0;0
2025-06;LOAD-M-04-0852;5;3,1;5,1;2423,0;12,9;0;0
2025-07;LOAD-M-04-0852;3;3,1;5,1;1453,8;7,7;0;0
2025-08;LOAD-M-04-0852;5;3,1;5,1;2423,0;12,9;0;0
2025-09;LOAD-M-04-0852;6;3,1;5,1;2907,6;15,4;0;0
2025-10;LOAD-M-04-0852;7;3,1;5,1;3392,2;18,0;0;0
2025-11;LOAD-M-04-0852;7;3,1;5,1;3392,2;18,0;0;0
2025-12;LOAD-M-04-0852;1;3,1;5,1;484,6;2,6;0;0
2024-01;MRT-07-0380;0;3,0;4,9;0,0;0,0;1;0
2024-02;MRT-07-0380;7;3,0;4,9;2957,07;11,2;0;0
2024-03;MRT-07-0380;5;3,0;4,9;2112,2;8,0;0;0
2024-04;MRT-07-0380;6;3,0;4,9;2534,63;9,6;0;0
2024-05;MRT-07-0380;4;3,0;4,9;1689,76;6,4;0;0
2024-06;MRT-07-0380;8;3,0;4,9;3379,51;12,7;0;0
2024-07;MRT-07-0380;6;3,0;4,9;2534,63;9,6;0;0
2024-08;MRT-07-0380;3;3,0;4,9;1267,32;4,8;0;0
2024-09;MRT-07-0380;7;3,0;4,9;2957,07;11,2;0;0
2024-10;MRT-07-0380;0;3,0;4,9;0,0;0,0;1;0
2024-11;MRT-07-0380;0;3,0;4,9;0,0;0,0;1;0
2024-12;MRT-07-0380;5;3,0;4,9;2112,2;8,0;0;0
2025-01;MRT-07-0380;7;3,0;4,9;2957,07;11,2;0;0
2025-02;MRT-07-0380;3;3,0;4,9;1267,32;4,8;0;0
2025-03;MRT-07-0380;5;3,0;4,9;2112,2;8,0;0;0
2025-04;MRT-07-0380;5;3,0;4,9;2112,2;8,0;0;0
2025-05;MRT-07-0380;5;3,0;4,9;2112,2;8,0;0;0
2025-06;MRT-07-0380;7;3,0;4,9;2957,07;11,2;0;0
2025-07;MRT-07-0380;7;3,0;4,9;2957,07;11,2;0;0
2025-08;MRT-07-0380;5;3,0;4,9;2112,2;8,0;0;0
2025-09;MRT-07-0380;2;3,0;4,9;844,88;3,2;0;0
2025-10;MRT-07-0380;4;3,0;4,9;1689,76;6,4;0;0
2025-11;MRT-07-0380;4;3,0;4,9;1689,76;6,4;0;0
2025-12;MRT-07-0380;1;3,0;4,9;422,44;1,6;0;0
2024-01;MT-07-0054;2;3,6;6,6;824,42;2,0;0;0
2024-02;MT-07-0054;5;3,6;6,6;2061,06;5,0;0;0
2024-03;MT-07-0054;3;3,6;6,6;1236,63;3,0;0;0
2024-04;MT-07-0054;4;3,6;6,6;1648,85;4,0;0;0
2024-05;MT-07-0054;8;3,6;6,6;3297,69;8,0;0;0
2024-06;MT-07-0054;10;3,6;6,6;4122,11;10,0;0;0
2024-07;MT-07-0054;7;3,6;6,6;2885,48;7,0;0;0
2024-08;MT-07-0054;6;3,6;6,6;2473,27;6,0;0;0
2024-09;MT-07-0054;5;3,6;6,6;2061,06;5,0;0;0
2024-10;MT-07-0054;8;3,6;6,6;3297,69;8,0;0;0
2024-11;MT-07-0054;6;3,6;6,6;2473,27;6,0;0;0
2024-12;MT-07-0054;4;3,6;6,6;1648,85;4,0;0;0
2025-01;MT-07-0054;1;3,6;6,6;412,21;1,0;0;0
2025-02;MT-07-0054;8;3,6;6,6;3297,69;8,0;0;0
2025-03;MT-07-0054;1;3,6;6,6;412,21;1,0;0;0
2025-04;MT-07-0054;9;3,6;6,6;3709,9;9,0;0;0
2025-05;MT-07-0054;8;3,6;6,6;3297,69;8,0;0;0
2025-06;MT-07-0054;7;3,6;6,6;2885,48;7,0;0;0
2025-07;MT-07-0054;6;3,6;6,6;2473,27;6,0;0;0
2025-08;MT-07-0054;9;3,6;6,6;3709,9;9,0;0;0
2025-09;MT-07-0054;4;3,6;6,6;1648,85;4,0;0;0
2025-10;MT-07-0054;5;3,6;6,6;2061,06;5,0;0;0
2025-11;MT-07-0054;1;3,6;6,6;412,21;1,0;0;0
2025-12;MT-07-0054;4;3,6;6,6;1648,85;4,0;0;0
2024-01;MLT-07-0222;24;28,4;52,1;6300,27;14,2;0;0
2024-02;MLT-07-0222;12;28,4;52,1;3150,13;7,1;0;0
2024-03;MLT-07-0222;86;28,4;52,1;22575,96;50,8;0;0
2024-04;MLT-07-0222;71;28,4;52,1;18638,29;42,0;0;0
2024-05;MLT-07-0222;44;28,4;52,1;11550,49;26,0;0;0
2024-06;MLT-07-0222;4;28,4;52,1;1050,04;2,4;0;0
2024-07;MLT-07-0222;58;28,4;52,1;15225,65;34,3;0;0
2024-08;MLT-07-0222;61;28,4;52,1;16013,18;36,1;0;0
2024-09;MLT-07-0222;54;28,4;52,1;14175,6;31,9;0;0
2024-10;MLT-07-0222;14;28,4;52,1;3675,16;8,3;0;0
2024-11;MLT-07-0222;78;28,4;52,1;20475,87;46,1;0;0
2024-12;MLT-07-0222;97;28,4;52,1;25463,58;57,3;0;0
2025-01;MLT-07-0222;44;28,4;52,1;11550,49;26,0;0;0
2025-02;MLT-07-0222;16;28,4;52,1;4200,18;9,5;0;0
2025-03;MLT-07-0222;54;28,4;52,1;14175,6;31,9;0;0
2025-04;MLT-07-0222;16;28,4;52,1;4200,18;9,5;0;0
2025-05;MLT-07-0222;47;28,4;52,1;12338,02;27,8;0;0
2025-06;MLT-07-0222;59;28,4;52,1;15488,16;34,9;0;0
2025-07;MLT-07-0222;32;28,4;52,1;8400,36;18,9;0;0
2025-08;MLT-07-0222;82;28,4;52,1;21525,91;48,5;0;0
2025-09;MLT-07-0222;58;28,4;52,1;15225,65;34,3;0;0
2025-10;MLT-07-0222;67;28,4;52,1;17588,25;39,6;0;0
2025-11;MLT-07-0222;75;28,4;52,1;19688,34;44,3;0;0
2025-12;MLT-07-0222;71;28,4;52,1;18638,29;42,0;0;0
2024-01;MI-MC-02-0516;11;4,0;6,5;2732,3;13,1;0;0
2024-02;MI-MC-02-0516;5;4,0;6,5;1241,95;6,0;0;0
2024-03;MI-MC-02-0516;9;4,0;6,5;2235,52;10,7;0;0
2024-04;MI-MC-02-0516;6;4,0;6,5;1490,34;7,2;0;0
2024-05;MI-MC-02-0516;5;4,0;6,5;1241,95;6,0;0;0
2024-06;MI-MC-02-0516;5;4,0;6,5;1241,95;6,0;0;0
2024-07;MI-MC-02-0516;7;4,0;6,5;1738,73;8,4;0;0
2024-08;MI-MC-02-0516;4;4,0;6,5;993,56;4,8;0;0
2024-09;MI-MC-02-0516;1;4,0;6,5;248,39;1,2;0;0
2024-10;MI-MC-02-0516;8;4,0;6,5;1987,12;9,6;0;0
2024-11;MI-MC-02-0516;7;4,0;6,5;1738,73;8,4;0;0
2024-12;MI-MC-02-0516;5;4,0;6,5;1241,95;6,0;0;0
2025-01;MI-MC-02-0516;9;4,0;6,5;2235,52;10,7;0;0
2025-02;MI-MC-02-0516;0;4,0;6,5;0,0;0,0;1;0
2025-03;MI-MC-02-0516;9;4,0;6,5;2235,52;10,7;0;0
2025-04;MI-MC-02-0516;1;4,0;6,5;248,39;1,2;0;0
2025-05;MI-MC-02-0516;4;4,0;6,5;993,56;4,8;0;0
2025-06;MI-MC-02-0516;8;4,0;6,5;1987,12;9,6;0;0
2025-07;MI-MC-02-0516;9;4,0;6,5;2235,52;10,7;0;0
2025-08;MI-MC-02-0516;7;4,0;6,5;1738,73;8,4;0;0
2025-09;MI-MC-02-0516;5;4,0;6,5;1241,95;6,0;0;0
2025-10;MI-MC-02-0516;8;4,0;6,5;1987,12;9,6;0;0
2025-11;MI-MC-02-0516;12;4,0;6,5;2980,69;14,3;0;0
2025-12;MI-MC-02-0516;4;4,0;6,5;993,56;4,8;0;0
2024-01;MI-MC-04-0482;6;3,2;5,9;2212,86;15,5;0;0
2024-02;MI-MC-04-0482;3;3,2;5,9;1106,43;7,8;0;0
2024-03;MI-MC-04-0482;8;3,2;5,9;2950,48;20,7;0;0
2024-04;MI-MC-04-0482;8;3,2;5,9;2950,48;20,7;0;0
2024-05;MI-MC-04-0482;8;3,2;5,9;2950,48;20,7;0;0
2024-06;MI-MC-04-0482;7;3,2;5,9;2581,67;18,1;0;0
2024-07;MI-MC-04-0482;3;3,2;5,9;1106,43;7,8;0;0
2024-08;MI-MC-04-0482;4;3,2;5,9;1475,24;10,4;0;0
2024-09;MI-MC-04-0482;4;3,2;5,9;1475,24;10,4;0;0
2024-10;MI-MC-04-0482;8;3,2;5,9;2950,48;20,7;0;0
2024-11;MI-MC-04-0482;6;3,2;5,9;2212,86;15,5;0;0
2024-12;MI-MC-04-0482;5;3,2;5,9;1844,05;12,9;0;0
2025-01;MI-MC-04-0482;7;3,2;5,9;2581,67;18,1;0;0
2025-02;MI-MC-04-0482;2;3,2;5,9;737,62;5,2;0;0
2025-03;MI-MC-04-0482;1;3,2;5,9;368,81;2,6;0;0
2025-04;MI-MC-04-0482;4;3,2;5,9;1475,24;10,4;0;0
2025-05;MI-MC-04-0482;11;3,2;5,9;4056,91;28,5;0;0
2025-06;MI-MC-04-0482;6;3,2;5,9;2212,86;15,5;0;0
2025-07;MI-MC-04-0482;5;3,2;5,9;1844,05;12,9;0;0
2025-08;MI-MC-04-0482;8;3,2;5,9;2950,48;20,7;0;0
2025-09;MI-MC-04-0482;0;3,2;5,9;0,0;0,0;1;0
2025-10;MI-MC-04-0482;5;3,2;5,9;1844,05;12,9;0;0
2025-11;MI-MC-04-0482;6;3,2;5,9;2212,86;15,5;0;0
2025-12;MI-MC-04-0482;9;3,2;5,9;3319,29;23,3;0;0
2024-01;AWP-04-0672;26;10,9;20,1;17976,25;128,2;0;0
2024-02;AWP-04-0672;19;10,9;20,1;13136,49;93,7;0;0
2024-03;AWP-04-0672;16;10,9;20,1;11062,31;78,9;0;0
2024-04;AWP-04-0672;15;10,9;20,1;10370,92;74,0;0;0
2024-05;AWP-04-0672;10;10,9;20,1;6913,94;49,3;0;0
2024-06;AWP-04-0672;15;10,9;20,1;10370,92;74,0;0;0
2024-07;AWP-04-0672;17;10,9;20,1;11753,7;83,8;0;0
2024-08;AWP-04-0672;19;10,9;20,1;13136,49;93,7;0;0
2024-09;AWP-04-0672;26;10,9;20,1;17976,25;128,2;0;0
2024-10;AWP-04-0672;40;10,9;20,1;27655,78;197,3;0;0
2024-11;AWP-04-0672;23;10,9;20,1;15902,07;113,4;0;0
2024-12;AWP-04-0672;27;10,9;20,1;18667,65;133,2;0;0
2025-01;AWP-04-0672;27;10,9;20,1;18667,65;133,2;0;0
2025-02;AWP-04-0672;19;10,9;20,1;13136,49;93,7;0;0
2025-03;AWP-04-0672;10;10,9;20,1;6913,94;49,3;0;0
2025-04;AWP-04-0672;14;10,9;20,1;9679,52;69,0;0;0
2025-05;AWP-04-0672;34;10,9;20,1;23507,41;167,7;0;0
2025-06;AWP-04-0672;20;10,9;20,1;13827,89;98,6;0;0
2025-07;AWP-04-0672;0;10,9;20,1;0,0;0,0;1;0
2025-08;AWP-04-0672;19;10,9;20,1;13136,49;93,7;0;0
2025-09;AWP-04-0672;23;10,9;20,1;15902,07;113,4;0;0
2025-10;AWP-04-0672;19;10,9;20,1;13136,49;93,7;0;0
2025-11;AWP-04-0672;12;10,9;20,1;8296,73;59,2;0;0
2025-12;AWP-04-0672;15;10,9;20,1;10370,92;74,0;0;0
2024-01;MRT-10-0393;5;2,1;3,3;1477,4;11,7;0;0
2024-02;MRT-10-0393;6;2,1;3,3;1772,88;14,0;0;0
2024-03;MRT-10-0393;5;2,1;3,3;1477,4;11,7;0;0
2024-04;MRT-10-0393;4;2,1;3,3;1181,92;9,3;0;0
2024-05;MRT-10-0393;3;2,1;3,3;886,44;7,0;0;0
2024-06;MRT-10-0393;5;2,1;3,3;1477,4;11,7;0;0
2024-07;MRT-10-0393;4;2,1;3,3;1181,92;9,3;0;0
2024-08;MRT-10-0393;6;2,1;3,3;1772,88;14,0;0;0
2024-09;MRT-10-0393;2;2,1;3,3;590,96;4,7;0;0
2024-10;MRT-10-0393;3;2,1;3,3;886,44;7,0;0;0
2024-11;MRT-10-0393;3;2,1;3,3;886,44;7,0;0;0
2024-12;MRT-10-0393;2;2,1;3,3;590,96;4,7;0;0
2025-01;MRT-10-0393;3;2,1;3,3;886,44;7,0;0;0
2025-02;MRT-10-0393;2;2,1;3,3;590,96;4,7;0;0
2025-03;MRT-10-0393;4;2,1;3,3;1181,92;9,3;0;0
2025-04;MRT-10-0393;2;2,1;3,3;590,96;4,7;0;0
2025-05;MRT-10-0393;1;2,1;3,3;295,48;2,3;0;0
2025-06;MRT-10-0393;1;2,1;3,3;295,48;2,3;0;0
2025-07;MRT-10-0393;0;2,1;3,3;0,0;0,0;1;0
2025-08;MRT-10-0393;3;2,1;3,3;886,44;7,0;0;0
2025-09;MRT-10-0393;2;2,1;3,3;590,96;4,7;0;0
2025-10;MRT-10-0393;3;2,1;3,3;886,44;7,0;0;0
2025-11;MRT-10-0393;0;2,1;3,3;0,0;0,0;1;0
2025-12;MRT-10-0393;2;2,1;3,3;590,96;4,7;0;0
2024-01;MLT-10-0204;8;11,2;18,2;937,0;3,4;0;0
2024-02;MLT-10-0204;23;11,2;18,2;2693,88;9,9;0;0
2024-03;MLT-10-0204;24;11,2;18,2;2811,0;10,3;0;0
2024-04;MLT-10-0204;21;11,2;18,2;2459,63;9,0;0;0
2024-05;MLT-10-0204;19;11,2;18,2;2225,38;8,2;0;0
2024-06;MLT-10-0204;10;11,2;18,2;1171,25;4,3;0;0
2024-07;MLT-10-0204;24;11,2;18,2;2811,0;10,3;0;0
2024-08;MLT-10-0204;33;11,2;18,2;3865,13;14,2;0;0
